date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-09-04,1389.9000,23.3690,52.1800,24.3033,,19.2600,3.8980,86.9000,6.5932,9163.96,154.08,-1.5652,-4.1547,1.6956,0.3165,,0.2603,1.6428,0.5554,-0.3308
2013-09-05,1373.1000,23.2060,52.2100,24.2233,,19.5100,3.8790,87.0400,6.6844,9178.35,155.12,-1.2087,-0.6975,0.0575,-0.3292,,1.2980,-0.4874,0.1611,-0.3523
2013-09-06,1386.7000,23.8420,52.4100,24.1967,,19.7000,3.8560,87.1600,,,,0.9905,2.7407,0.3831,-0.1101,,0.9739,-0.5929,0.1379,0.6832
2013-09-09,1386.8000,23.6680,52.5400,24.5033,,19.6600,3.8770,87.5600,6.5556,9091.24,155.16,0.0072,-0.7298,0.2480,1.2674,,-0.2031,0.5446,0.4589,0.2360
2013-09-10,1364.1000,22.9660,52.8700,24.6533,,20.5900,3.9660,88.5300,6.5428,8924.98,150.26,-1.6369,-2.9660,0.6281,0.6122,,4.7304,2.2956,1.1078,0.2515
2013-09-11,1363.9000,23.1210,52.8000,24.6833,,20.2900,3.9250,89.2300,6.5163,8887.62,150.66,-0.0147,0.6749,-0.1324,0.1217,,-1.4570,-1.0338,0.7907,-0.1434
2013-09-12,1330.4000,22.0990,52.9100,24.6367,,20.2700,3.9030,89.0100,6.5128,8664.59,143.93,-2.4562,-4.4202,0.2083,-0.1891,,-0.0986,-0.5605,-0.2466,-1.2536
2013-09-13,1308.4000,21.6700,53.2700,24.7867,,19.9100,3.8990,88.5700,,,,-1.6536,-1.9413,0.6804,0.6088,,-1.7760,-0.1025,-0.4943,-0.7007
2013-09-16,1317.9000,21.9630,53.6400,24.9267,,19.9900,3.9280,89.0300,6.5123,8582.56,143.03,0.7261,1.3521,0.6946,0.5648,,0.4018,0.7438,0.5194,0.7155
2013-09-17,1309.5000,21.7350,53.8300,25.0500,,19.8800,4.0120,89.0600,6.4649,8465.76,140.51,-0.6374,-1.0381,0.3542,0.4948,,-0.5503,2.1385,0.0337,0.0041
2013-09-18,1307.8000,21.5140,54.1600,25.4733,,19.6600,4.0670,89.9100,6.3616,8319.67,136.86,-0.1298,-1.0168,0.6130,1.6900,,-1.1066,1.3709,0.9544,0.3126
2013-09-19,1369.4000,23.2420,53.8600,25.4033,,19.5200,4.0750,90.0700,6.3307,8669.27,147.14,4.7102,8.0320,-0.5539,-0.2748,,-0.7121,0.1967,0.1780,2.0151
2013-09-20,1332.5000,21.8760,53.9300,25.2767,,19.3800,4.1620,89.6800,,,,-2.6946,-5.8773,0.1300,-0.4986,,-0.7172,2.1350,-0.4330,-1.3580
2013-09-23,1326.9000,21.8050,53.0400,25.4733,,19.1600,4.1870,89.0900,6.3844,8471.46,139.21,-0.4203,-0.3246,-1.6503,0.7781,,-1.1352,0.6007,-0.6579,-0.4081
2013-09-24,1316.0000,21.5390,52.4300,25.2500,,18.8100,4.2410,88.2200,6.3974,8419.02,137.79,-0.8215,-1.2199,-1.1501,-0.8767,,-1.8267,1.2897,-0.9765,-0.8406
2013-09-25,1335.9000,21.8380,52.6100,24.8833,,18.5200,4.2210,87.0800,6.4216,8578.62,140.23,1.5122,1.3882,0.3433,-1.4521,,-1.5417,-0.4716,-1.2922,0.0849
